tic,time,open,high,low,close,volume,day
600519.SH,2022-09-01,1912.15,1916.0,1880.89,1880.89,26845,3
600519.SH,2022-09-02,1889.94,1892.96,1866.17,1875.0,19391,4
600519.SH,2022-09-05,1862.64,1869.0,1820.0,1835.0,36822,0
600519.SH,2022-09-06,1835.36,1848.2,1825.0,1845.0,20830,1
600519.SH,2022-09-07,1835.03,1837.66,1811.01,1818.01,28306,2
600519.SH,2022-09-08,1820.0,1832.0,1815.0,1815.0,16591,3
600519.SH,2022-09-09,1825.0,1852.0,1816.0,1844.79,27090,4
600519.SH,2022-09-13,1880.0,1888.38,1858.23,1879.0,28693,1
600519.SH,2022-09-14,1864.01,1880.0,1863.0,1869.0,16042,2
600519.SH,2022-09-15,1870.0,1893.12,1869.96,1880.0,20810,3
600519.SH,2022-09-16,1871.8,1885.6,1855.11,1859.0,24121,4
600519.SH,2022-09-19,1855.0,1888.59,1852.88,1871.64,18584,0
600519.SH,2022-09-20,1869.98,1884.6,1858.55,1878.0,14116,1
600519.SH,2022-09-21,1876.67,1883.0,1848.0,1848.0,20995,2
600519.SH,2022-09-22,1840.0,1841.02,1816.85,1820.81,22704,3
600519.SH,2022-09-23,1820.81,1855.0,1820.81,1834.43,28288,4
600519.SH,2022-09-26,1820.0,1888.0,1819.98,1863.0,35135,0
600519.SH,2022-09-27,1868.86,1897.0,1851.11,1888.0,28820,1
600519.SH,2022-09-28,1880.5,1899.4,1874.01,1883.0,21446,2
600519.SH,2022-09-29,1897.98,1902.18,1871.13,1880.35,21590,3
600519.SH,2022-09-30,1898.62,1901.99,1866.0,1872.5,21289,4
600519.SH,2022-10-10,1890.0,1891.0,1780.2,1786.0,48584,0
600519.SH,2022-10-11,1789.0,1806.0,1760.0,1779.99,32047,1
600519.SH,2022-10-12,1773.66,1779.0,1708.0,1760.0,48195,2
600519.SH,2022-10-13,1720.46,1735.0,1697.0,1699.99,63969,3
600519.SH,2022-10-14,1710.0,1755.0,1701.94,1737.61,46520,4
600519.SH,2022-10-17,1726.0,1727.99,1697.8,1718.5,33550,0
600519.SH,2022-10-18,1725.0,1730.0,1701.0,1705.83,28083,1
600519.SH,2022-10-19,1701.98,1701.98,1648.0,1648.0,60121,2
600519.SH,2022-10-20,1621.0,1668.43,1611.0,1643.5,42778,3
600519.SH,2022-10-21,1640.0,1647.8,1610.0,1624.0,38907,4
600519.SH,2022-10-24,1570.0,1589.0,1488.01,1501.28,132098,0
600519.SH,2022-10-25,1479.42,1515.0,1472.0,1479.75,81362,1
600519.SH,2022-10-26,1488.8,1514.99,1460.0,1464.08,81781,2
600519.SH,2022-10-27,1480.0,1487.98,1383.85,1401.0,107106,3
600519.SH,2022-10-28,1390.77,1406.0,1358.71,1360.0,93143,4
600519.SH,2022-10-31,1350.0,1382.01,1333.0,1350.0,71847,0
600519.SH,2022-11-01,1359.0,1469.4,1359.0,1462.01,118766,1
600519.SH,2022-11-02,1460.0,1506.0,1436.0,1471.96,79777,2
600519.SH,2022-11-03,1443.57,1462.5,1428.1,1439.5,45160,3
600519.SH,2022-11-04,1437.96,1527.77,1437.96,1516.57,80008,4
600519.SH,2022-11-07,1494.05,1518.48,1486.59,1507.11,42698,0
600519.SH,2022-11-08,1508.0,1517.99,1468.96,1484.88,39325,1
600519.SH,2022-11-09,1483.95,1488.88,1450.0,1459.9,36090,2
600519.SH,2022-11-10,1444.0,1485.0,1435.15,1475.0,37720,3
600519.SH,2022-11-11,1528.0,1544.45,1494.98,1528.15,73947,4
600519.SH,2022-11-14,1543.5,1563.53,1528.0,1533.0,57370,0
600519.SH,2022-11-15,1532.0,1598.97,1521.0,1588.0,56318,1
600519.SH,2022-11-16,1581.0,1598.0,1568.0,1585.25,26848,2
600519.SH,2022-11-17,1590.5,1596.3,1552.88,1567.0,30580,3
600519.SH,2022-11-18,1576.0,1584.0,1556.0,1567.13,23609,4
600519.SH,2022-11-21,1541.35,1541.35,1498.53,1519.98,39096,0
600519.SH,2022-11-22,1517.44,1559.74,1516.11,1539.95,29901,1
600519.SH,2022-11-23,1528.0,1557.0,1521.04,1549.0,22177,2
600519.SH,2022-11-24,1559.0,1568.88,1513.98,1519.99,27687,3
600519.SH,2022-11-25,1520.51,1532.0,1510.0,1522.01,18621,4
600519.SH,2022-11-28,1484.78,1515.0,1451.0,1509.88,47723,0
600519.SH,2022-11-29,1569.56,1600.0,1551.0,1599.0,73420,1
600519.SH,2022-11-30,1587.12,1604.0,1585.0,1599.0,31497,2
600519.SH,2022-12-01,1660.0,1680.0,1630.79,1630.8,51358,3
600519.SH,2022-12-02,1635.0,1652.99,1621.2,1633.88,23884,4
600519.SH,2022-12-05,1668.0,1679.0,1649.0,1664.9,36127,0
600519.SH,2022-12-06,1655.0,1726.9,1652.0,1688.0,44147,1
